FF,FS,FT,Ffourth,SF,SS,ST,Sfourth,TF,TS,TT,Tfourth,FourthF,FourthS,FourthT,FourthF,Status
+,+,+,+,X,O,X,O,X,O,B,O,X,B,B,B,TRUE
O,X,B,O,+,+,+,+,X,O,X,O,X,B,B,B,TRUE
+,+,+,+,X,O,X,O,O,X,B,X,O,B,B,B,TRUE
O,X,B,O,+,+,+,+,O,X,X,X,O,B,B,B,TRUE
+,+,+,+,O,O,O,X,B,O,X,B,X,X,B,B,TRUE
X,O,X,O,+,+,+,+,X,O,B,O,X,B,B,B,TRUE
X,O,O,X,+,+,+,+,O,O,X,B,B,X,B,B,TRUE
+,O,X,O,+,O,B,X,+,X,O,X,+,B,B,B,TRUE
X,O,B,X,+,+,+,+,B,O,O,O,X,X,B,B,TRUE
X,O,X,O,+,+,+,+,O,X,B,X,O,B,B,B,TRUE
+,+,+,+,O,X,X,X,O,X,B,O,O,B,B,B,TRUE
B,O,O,O,+,+,+,+,X,B,O,X,X,X,B,B,TRUE
+,+,+,+,X,O,O,B,X,O,X,O,X,B,B,B,TRUE
+,+,+,+,B,O,X,O,O,O,X,X,X,B,B,B,TRUE
+,+,+,+,O,X,O,X,O,B,X,X,O,B,B,B,TRUE
+,+,+,+,X,O,O,B,O,X,X,X,O,B,B,B,TRUE
O,O,X,+,O,X,+,O,X,+,B,X,+,B,B,B,TRUE
B,O,X,+,X,X,+,O,X,+,O,O,+,B,B,B,TRUE
X,O,O,+,X,O,+,O,X,+,B,X,+,B,B,B,TRUE
B,X,B,O,+,+,+,+,O,O,X,O,X,X,B,B,TRUE
+,+,+,+,X,X,X,O,X,B,O,O,O,B,B,B,TRUE
O,X,O,O,+,+,+,+,O,X,B,B,X,X,B,B,TRUE
+,B,O,X,+,O,O,X,+,X,X,O,+,B,B,B,TRUE
+,+,+,+,O,O,X,O,O,X,B,X,X,B,B,B,TRUE
+,X,B,O,+,O,X,O,+,X,O,X,+,B,B,B,TRUE
X,O,O,+,X,X,+,O,B,+,X,O,+,B,B,B,TRUE
+,+,+,+,B,O,O,X,B,O,X,O,X,X,B,B,TRUE
X,O,X,X,+,+,+,+,O,O,X,O,B,B,B,B,TRUE
O,X,X,O,X,O,O,X,+,+,+,+,B,B,B,B,TRUE
X,O,O,+,X,O,+,X,B,+,O,X,+,B,B,B,TRUE
+,+,+,+,O,O,O,B,O,X,X,X,X,B,B,B,TRUE
+,+,+,+,O,O,X,O,B,X,O,B,X,X,B,B,TRUE
O,O,B,X,+,+,+,+,O,B,O,X,X,X,B,B,TRUE
+,+,+,+,O,O,O,X,B,X,B,O,X,X,B,B,TRUE
+,+,+,+,X,O,X,B,O,B,O,O,X,X,B,B,TRUE
B,O,O,X,+,+,+,+,X,X,X,O,O,B,B,B,TRUE
+,X,O,O,+,X,O,X,+,O,B,X,+,B,B,B,TRUE
X,O,O,X,+,+,+,+,O,X,B,O,B,X,B,B,TRUE
+,B,X,X,+,O,X,O,+,O,X,O,+,B,B,B,TRUE
+,X,O,X,+,O,X,B,+,O,X,O,+,B,B,B,TRUE
+,+,+,+,O,X,X,O,X,B,O,O,X,B,B,B,TRUE
X,O,O,+,X,B,+,X,O,+,O,X,+,B,B,B,TRUE
+,+,+,+,O,X,O,O,O,X,B,X,B,X,B,B,TRUE
O,O,B,X,+,+,+,+,B,O,O,X,X,X,B,B,TRUE
X,X,O,B,+,+,+,+,O,O,X,X,O,B,B,B,TRUE
O,B,O,O,+,+,+,+,X,O,X,X,X,B,B,B,TRUE
+,+,+,+,O,B,X,O,O,X,O,B,X,X,B,B,TRUE
+,+,+,+,X,B,O,X,O,O,B,O,X,X,B,B,TRUE
B,O,X,X,+,+,+,+,O,O,X,O,B,X,B,B,TRUE
+,+,+,+,O,B,X,O,B,O,O,X,X,X,B,B,TRUE
O,O,B,O,O,X,X,X,+,+,+,+,X,B,B,B,TRUE
X,X,O,X,+,+,+,+,O,O,O,B,B,X,B,B,TRUE
O,O,O,+,X,X,+,O,B,+,X,X,+,B,B,B,TRUE
O,X,X,O,X,O,O,B,+,+,+,+,B,X,B,B,TRUE
O,O,X,X,+,+,+,+,O,O,X,X,B,B,B,B,TRUE
B,O,X,O,+,+,+,+,O,X,O,X,X,B,B,B,TRUE
B,O,O,+,X,X,+,X,X,+,O,O,+,B,B,B,TRUE
+,+,+,+,B,X,O,X,O,O,X,O,X,B,B,B,TRUE
X,O,B,O,+,+,+,+,X,O,X,X,O,B,B,B,TRUE
O,B,X,O,O,O,X,X,+,+,+,+,B,X,B,B,TRUE
+,+,+,+,B,O,O,X,X,O,O,B,X,X,B,B,TRUE
X,O,O,+,X,X,+,O,X,+,O,B,+,B,B,B,TRUE
+,+,+,+,X,O,O,O,X,B,X,X,O,B,B,B,TRUE
+,B,X,X,+,O,O,O,+,X,X,O,+,B,B,B,TRUE
X,O,B,X,O,O,X,X,+,+,+,+,O,B,B,B,TRUE
+,B,X,O,+,X,O,O,+,X,O,X,+,B,B,B,TRUE
O,O,X,O,X,X,B,O,+,+,+,+,X,B,B,B,TRUE
O,X,B,+,O,O,+,X,X,+,O,X,+,B,B,B,TRUE
+,+,+,+,X,O,X,B,O,O,X,X,O,B,B,B,TRUE
+,O,X,B,+,O,O,X,+,X,X,O,+,B,B,B,TRUE
X,X,O,O,+,+,+,+,O,B,B,O,X,X,B,B,TRUE
X,O,X,+,O,X,+,O,X,+,B,O,+,B,B,B,TRUE
+,+,+,+,O,X,X,X,O,O,X,B,O,B,B,B,TRUE
+,+,+,+,O,O,X,X,O,B,B,O,X,X,B,B,TRUE
+,+,+,+,X,B,O,O,O,X,O,B,X,X,B,B,TRUE
X,O,O,O,+,+,+,+,X,B,O,X,X,B,B,B,TRUE
+,+,+,+,O,O,B,X,X,X,O,X,O,B,B,B,TRUE
+,O,O,O,+,X,X,B,+,O,X,X,+,B,B,B,TRUE
B,X,X,O,O,X,O,O,+,+,+,+,B,X,B,B,TRUE
+,+,+,+,O,O,B,O,O,X,X,B,X,X,B,B,TRUE
+,+,+,+,O,O,X,O,X,X,B,O,X,B,B,B,TRUE
O,O,B,O,O,X,X,B,+,+,+,+,X,X,B,B,TRUE
X,O,X,+,X,B,+,O,O,+,O,X,+,B,B,B,TRUE
+,+,+,+,X,B,O,B,O,X,O,O,X,X,B,B,TRUE
X,O,B,O,+,+,+,+,O,X,O,X,B,X,B,B,TRUE
+,+,+,+,O,O,X,B,O,O,X,X,X,B,B,B,TRUE
O,O,B,O,X,X,O,X,+,+,+,+,X,B,B,B,TRUE
+,+,+,+,X,O,B,B,O,O,X,O,X,X,B,B,TRUE
+,+,+,+,B,X,O,B,O,O,X,O,X,X,B,B,TRUE
+,+,+,+,X,O,O,O,X,O,X,B,X,B,B,B,TRUE
+,+,+,+,O,B,B,O,O,O,X,X,X,X,B,B,TRUE
O,O,X,B,+,+,+,+,O,X,X,O,X,B,B,B,TRUE
O,B,X,O,X,O,O,X,+,+,+,+,B,X,B,B,TRUE
O,O,O,X,+,+,+,+,X,O,X,B,B,X,B,B,TRUE
X,B,O,+,O,X,+,O,O,+,X,X,+,B,B,B,TRUE
B,O,O,O,+,+,+,+,X,X,O,B,X,X,B,B,TRUE
O,O,X,O,+,+,+,+,X,X,B,X,O,B,B,B,TRUE
O,X,O,O,+,+,+,+,O,B,B,X,X,X,B,B,TRUE
+,+,+,+,O,X,O,X,O,X,X,B,O,B,B,B,TRUE
X,X,B,O,+,+,+,+,X,O,O,X,O,B,B,B,TRUE
+,+,+,+,X,X,O,X,O,B,O,O,B,X,B,B,TRUE
+,B,O,O,+,X,O,X,+,X,O,X,+,B,B,B,TRUE
+,+,+,+,X,X,O,O,X,O,B,O,B,X,B,B,TRUE
+,O,O,O,+,X,O,B,+,X,X,X,+,B,B,B,TRUE
+,+,+,+,X,O,O,X,O,B,B,O,X,X,B,B,TRUE
+,+,+,+,O,O,X,O,B,B,O,X,X,X,B,B,TRUE
+,X,X,B,+,O,O,X,+,X,O,O,+,B,B,B,TRUE
+,+,+,+,X,O,O,O,X,X,B,O,X,B,B,B,TRUE
O,O,B,O,X,X,O,B,+,+,+,+,X,X,B,B,TRUE
O,O,B,X,+,+,+,+,O,X,O,B,X,X,B,B,TRUE
B,X,O,O,O,X,O,X,+,+,+,+,B,X,B,B,TRUE
+,+,+,+,X,O,O,B,O,O,X,X,X,B,B,B,TRUE
O,X,X,O,O,B,X,X,+,+,+,+,O,B,B,B,TRUE
X,B,O,O,+,+,+,+,O,O,X,X,X,B,B,B,TRUE
+,B,X,O,+,X,X,O,+,O,O,X,+,B,B,B,TRUE
+,+,+,+,O,X,O,X,O,O,X,B,X,B,B,B,TRUE
X,X,B,+,O,O,+,X,X,+,O,O,+,B,B,B,TRUE
O,O,X,B,O,O,X,B,+,+,+,+,X,X,B,B,TRUE
+,+,+,+,O,O,B,B,X,O,O,X,X,X,B,B,TRUE
X,X,O,O,O,X,O,B,+,+,+,+,B,X,B,B,TRUE
+,O,O,O,+,X,B,X,+,X,X,O,+,B,B,B,TRUE
+,+,+,+,O,O,B,O,X,B,X,O,X,X,B,B,TRUE
+,+,+,+,O,O,B,X,O,X,X,O,X,B,B,B,TRUE
B,O,X,O,+,+,+,+,O,O,B,X,X,X,B,B,TRUE
O,X,B,X,O,X,X,O,+,+,+,+,O,B,B,B,TRUE
O,O,X,X,+,+,+,+,X,B,X,O,O,B,B,B,TRUE
O,X,X,O,O,X,B,O,+,+,+,+,B,X,B,B,TRUE
X,X,X,O,O,X,O,O,+,+,+,+,B,B,B,B,TRUE
+,X,O,X,+,O,O,O,+,B,X,X,+,B,B,B,TRUE
X,X,O,O,B,X,O,O,+,+,+,+,B,X,B,B,TRUE
+,+,+,+,B,O,B,O,X,O,O,X,X,X,B,B,TRUE
O,X,B,O,+,+,+,+,B,X,O,O,X,X,B,B,TRUE
+,+,+,+,X,O,X,O,X,X,B,O,O,B,B,B,TRUE
O,X,B,+,O,X,+,O,X,+,X,O,+,B,B,B,TRUE
O,O,O,X,X,X,X,O,+,+,+,+,B,B,B,B,TRUE
+,+,+,+,X,O,O,O,X,X,X,B,O,B,B,B,TRUE
X,O,X,O,+,+,+,+,X,X,B,O,O,B,B,B,TRUE
+,+,+,+,X,O,X,O,B,O,O,X,B,X,B,B,TRUE
+,+,+,+,X,O,O,B,B,X,O,O,X,X,B,B,TRUE
O,X,O,B,+,+,+,+,O,X,O,X,B,X,B,B,TRUE
+,+,+,+,X,B,O,O,O,B,O,X,X,X,B,B,TRUE
+,+,+,+,O,X,O,X,X,B,X,O,O,B,B,B,TRUE
O,X,X,O,+,+,+,+,O,X,X,O,B,B,B,B,TRUE
X,X,O,O,O,B,O,X,+,+,+,+,B,X,B,B,TRUE
B,O,O,O,X,X,O,B,+,+,+,+,X,X,B,B,TRUE
X,O,X,O,+,+,+,+,B,O,O,X,B,X,B,B,TRUE
O,X,X,O,+,+,+,+,B,O,X,X,O,B,B,B,TRUE
B,X,O,O,X,O,X,X,+,+,+,+,O,B,B,B,TRUE
O,B,O,X,X,O,O,X,+,+,+,+,X,B,B,B,TRUE
B,O,O,+,X,X,+,X,O,+,O,X,+,B,B,B,TRUE
X,O,X,X,X,O,B,O,+,+,+,+,O,B,B,B,TRUE
+,+,+,+,X,B,X,X,O,X,O,O,O,B,B,B,TRUE
+,+,+,+,X,O,B,O,O,O,X,B,X,X,B,B,TRUE
X,O,B,X,+,+,+,+,O,B,O,O,X,X,B,B,TRUE
O,O,X,+,X,B,+,O,X,+,O,X,+,B,B,B,TRUE
+,+,+,+,X,B,O,O,X,O,X,X,O,B,B,B,TRUE
+,X,X,O,+,O,X,O,+,B,O,X,+,B,B,B,TRUE
+,X,O,O,+,X,B,X,+,X,O,O,+,B,B,B,TRUE
+,+,+,+,B,X,X,X,O,O,X,O,O,B,B,B,TRUE
+,+,+,+,O,X,X,O,O,O,B,X,B,X,B,B,TRUE
X,O,O,B,O,B,O,X,+,+,+,+,X,X,B,B,TRUE
+,+,+,+,X,O,X,X,B,O,O,O,X,B,B,B,TRUE
O,X,X,+,B,O,+,X,O,+,O,X,+,B,B,B,TRUE
O,X,O,+,X,X,+,O,B,+,O,X,+,B,B,B,TRUE
X,B,O,O,+,+,+,+,X,O,X,O,X,B,B,B,TRUE
O,X,X,X,+,+,+,+,O,O,O,X,B,B,B,B,TRUE
B,X,O,O,O,O,X,X,+,+,+,+,X,B,B,B,TRUE
X,O,X,X,O,O,B,O,+,+,+,+,X,B,B,B,TRUE
X,B,O,O,+,+,+,+,O,X,X,X,O,B,B,B,TRUE
O,O,X,X,B,O,X,X,+,+,+,+,O,B,B,B,TRUE
X,O,O,X,B,O,B,O,+,+,+,+,X,X,B,B,TRUE
+,+,+,+,O,B,X,X,O,X,O,O,X,B,B,B,TRUE
O,O,B,O,+,+,+,+,B,X,X,O,X,X,B,B,TRUE
O,X,O,X,+,+,+,+,B,O,X,O,B,X,B,B,TRUE
+,+,+,+,X,X,B,O,O,X,O,O,B,X,B,B,TRUE
+,+,+,+,O,B,O,O,X,O,X,X,X,B,B,B,TRUE
O,X,B,X,X,O,O,O,+,+,+,+,B,X,B,B,TRUE
+,+,+,+,O,X,O,B,O,O,X,X,B,X,B,B,TRUE
O,X,X,O,O,O,X,B,+,+,+,+,B,X,B,B,TRUE
+,+,+,+,X,X,O,X,O,O,X,B,O,B,B,B,TRUE
O,O,X,+,X,X,+,X,O,+,O,B,+,B,B,B,TRUE
+,+,+,+,B,X,O,O,O,X,B,O,X,X,B,B,TRUE
X,O,X,B,O,X,X,O,+,+,+,+,O,B,B,B,TRUE
+,+,+,+,O,X,O,X,B,X,O,O,B,X,B,B,TRUE
O,B,X,X,O,X,O,O,+,+,+,+,B,X,B,B,TRUE
+,O,X,X,+,X,B,O,+,O,O,X,+,B,B,B,TRUE
+,+,+,+,O,O,X,X,O,B,X,O,B,X,B,B,TRUE
O,O,O,B,+,+,+,+,O,X,X,X,B,X,B,B,TRUE
O,O,X,X,O,X,B,X,+,+,+,+,O,B,B,B,TRUE
+,+,+,+,O,O,X,O,X,X,X,O,B,B,B,B,TRUE
X,O,O,X,B,X,O,X,+,+,+,+,O,B,B,B,TRUE
O,X,X,O,+,+,+,+,O,X,B,O,X,B,B,B,TRUE
X,X,O,+,O,O,+,B,X,+,O,X,+,B,B,B,TRUE
X,O,O,O,+,+,+,+,B,X,X,O,X,B,B,B,TRUE
+,+,+,+,O,B,O,X,O,X,B,O,X,X,B,B,TRUE
+,+,+,+,X,O,X,B,X,O,X,O,O,B,B,B,TRUE
B,X,O,X,X,X,O,O,+,+,+,+,O,B,B,B,TRUE
+,O,X,O,+,O,X,O,+,B,X,X,+,B,B,B,TRUE
+,+,+,+,X,X,O,O,O,O,B,X,B,X,B,B,TRUE
O,B,O,X,O,O,X,X,+,+,+,+,X,B,B,B,TRUE
+,+,+,+,X,B,X,O,O,O,O,B,X,X,B,B,TRUE
X,O,X,X,+,+,+,+,O,B,X,O,O,B,B,B,TRUE
X,X,O,X,+,+,+,+,X,O,B,O,O,B,B,B,TRUE
+,O,O,X,+,X,X,O,+,B,X,O,+,B,B,B,TRUE
X,X,O,+,B,O,+,O,X,+,O,X,+,B,B,B,TRUE
+,+,+,+,X,X,X,B,O,X,O,O,O,B,B,B,TRUE
X,O,O,+,O,X,+,X,O,+,B,X,+,B,B,B,TRUE
B,O,B,X,O,O,O,X,+,+,+,+,X,X,B,B,TRUE
+,+,+,+,X,O,O,O,O,X,B,X,X,B,B,B,TRUE
O,O,B,O,+,+,+,+,X,X,O,B,X,X,B,B,TRUE
X,O,X,B,X,X,O,O,+,+,+,+,O,B,B,B,TRUE
+,O,O,X,+,O,X,X,+,X,O,B,+,B,B,B,TRUE
X,X,B,+,O,X,+,O,O,+,X,O,+,B,B,B,TRUE
+,+,+,+,O,O,X,B,X,O,X,O,X,B,B,B,TRUE
O,X,O,+,X,X,+,X,O,+,B,O,+,B,B,B,TRUE
O,B,X,O,+,+,+,+,O,X,X,O,B,X,B,B,TRUE
X,O,B,O,+,+,+,+,X,X,O,O,B,X,B,B,TRUE
B,X,O,X,O,X,O,O,+,+,+,+,X,B,B,B,TRUE
+,+,+,+,O,O,X,B,O,X,X,X,O,B,B,B,TRUE
X,O,O,B,O,X,O,B,+,+,+,+,X,X,B,B,TRUE
O,O,X,X,B,O,O,X,+,+,+,+,X,B,B,B,TRUE
X,O,X,O,O,O,B,X,+,+,+,+,B,X,B,B,TRUE
+,X,B,O,+,X,O,X,+,X,O,O,+,B,B,B,TRUE
X,B,B,O,+,+,+,+,O,O,X,O,X,X,B,B,TRUE
+,+,+,+,O,X,X,B,O,X,O,O,X,B,B,B,TRUE
+,+,+,+,O,X,B,O,B,X,O,O,X,X,B,B,TRUE
+,+,+,+,B,O,X,O,X,O,X,O,X,B,B,B,TRUE
+,+,+,+,B,O,X,O,O,X,X,X,O,B,B,B,TRUE
O,O,O,B,+,+,+,+,O,B,X,X,X,X,B,B,TRUE
O,O,X,B,O,X,B,O,+,+,+,+,X,X,B,B,TRUE
X,O,X,B,O,X,O,O,+,+,+,+,X,B,B,B,TRUE
+,O,O,X,+,B,X,X,+,O,O,X,+,B,B,B,TRUE
B,X,O,X,+,+,+,+,X,X,O,O,O,B,B,B,TRUE
+,+,+,+,O,B,O,O,B,X,O,X,X,X,B,B,TRUE
+,+,+,+,B,X,O,X,X,O,O,X,O,B,B,B,TRUE
+,+,+,+,O,B,O,X,O,X,X,O,B,X,B,B,TRUE
+,+,+,+,B,X,X,O,O,X,O,O,X,B,B,B,TRUE
X,X,B,O,+,+,+,+,O,O,X,O,X,B,B,B,TRUE
O,X,O,B,X,O,X,O,+,+,+,+,X,B,B,B,TRUE
X,X,O,O,+,+,+,+,B,X,O,O,X,B,B,B,TRUE
B,O,O,X,+,+,+,+,B,O,O,X,X,X,B,B,TRUE
+,+,+,+,O,O,X,X,B,O,B,O,X,X,B,B,TRUE
B,B,O,O,O,O,X,X,+,+,+,+,X,X,B,B,TRUE
X,O,O,X,O,O,B,B,+,+,+,+,X,X,B,B,TRUE
X,X,O,X,X,B,O,O,+,+,+,+,O,B,B,B,TRUE
B,O,X,O,X,X,O,O,+,+,+,+,X,B,B,B,TRUE
X,O,X,B,+,+,+,+,X,X,O,O,O,B,B,B,TRUE
+,O,O,B,+,X,O,X,+,O,X,X,+,B,B,B,TRUE
X,O,O,+,B,O,+,O,X,+,X,X,+,B,B,B,TRUE
+,X,X,O,+,O,O,X,+,X,B,O,+,B,B,B,TRUE
+,+,+,+,O,X,B,O,X,O,X,O,X,B,B,B,TRUE
+,+,+,+,O,X,O,B,O,X,B,O,X,X,B,B,TRUE
B,X,O,X,O,X,X,O,+,+,+,+,O,B,B,B,TRUE
+,X,O,X,+,X,X,O,+,B,O,O,+,B,B,B,TRUE
+,+,+,+,O,X,B,O,O,X,X,X,O,B,B,B,TRUE
+,O,O,O,+,X,X,O,+,X,B,X,+,B,B,B,TRUE
O,X,O,X,O,B,B,O,+,+,+,+,X,X,B,B,TRUE
+,+,+,+,X,X,X,O,O,O,O,X,B,B,B,B,TRUE
X,X,O,X,O,B,O,O,+,+,+,+,X,B,B,B,TRUE
O,B,X,O,+,+,+,+,O,X,B,O,X,X,B,B,TRUE
X,O,B,O,+,+,+,+,X,B,O,O,X,X,B,B,TRUE
+,O,B,O,+,X,O,X,+,X,X,O,+,B,B,B,TRUE
O,X,O,O,+,+,+,+,B,O,B,X,X,X,B,B,TRUE
O,O,X,X,+,+,+,+,B,O,O,B,X,X,B,B,TRUE
+,+,+,+,X,B,O,O,O,X,O,X,B,X,B,B,TRUE
O,B,O,X,X,O,X,X,+,+,+,+,O,B,B,B,TRUE
X,O,B,O,X,X,O,O,+,+,+,+,B,X,B,B,TRUE
+,X,O,X,+,O,X,O,+,O,X,B,+,B,B,B,TRUE
B,O,X,O,+,+,+,+,X,X,O,O,X,B,B,B,TRUE
O,X,X,O,B,O,X,O,+,+,+,+,B,X,B,B,TRUE
+,+,+,+,O,X,X,X,O,O,B,O,X,B,B,B,TRUE
+,+,+,+,B,X,O,O,O,O,X,X,B,X,B,B,TRUE
O,X,O,B,+,+,+,+,O,B,O,X,X,X,B,B,TRUE
+,+,+,+,X,O,B,X,O,X,X,O,O,B,B,B,TRUE
+,+,+,+,X,O,O,X,B,O,B,O,X,X,B,B,TRUE
+,+,+,+,O,O,X,B,B,X,O,O,X,X,B,B,TRUE
X,B,X,+,O,O,+,O,X,+,O,X,+,B,B,B,TRUE
+,+,+,+,X,O,X,O,X,O,X,O,B,B,B,B,TRUE
+,+,+,+,O,O,O,X,B,O,X,X,B,X,B,B,TRUE
B,O,O,O,O,X,X,B,+,+,+,+,X,X,B,B,TRUE
X,O,O,X,+,+,+,+,B,X,O,X,O,B,B,B,TRUE
+,X,O,O,+,X,X,O,+,B,X,O,+,B,B,B,TRUE
O,X,O,+,X,B,+,O,X,+,X,O,+,B,B,B,TRUE
O,O,B,X,+,+,+,+,X,O,X,X,O,B,B,B,TRUE
X,B,O,O,X,O,X,X,+,+,+,+,O,B,B,B,TRUE
B,X,B,O,O,O,O,X,+,+,+,+,X,X,B,B,TRUE
B,X,O,O,+,+,+,+,X,O,X,O,X,B,B,B,TRUE
B,X,O,O,+,+,+,+,O,X,X,X,O,B,B,B,TRUE
+,O,X,B,+,X,O,O,+,O,X,X,+,B,B,B,TRUE
O,B,B,X,+,+,+,+,O,O,X,O,X,X,B,B,TRUE
+,X,O,O,+,O,X,X,+,X,O,B,+,B,B,B,TRUE
X,X,O,X,O,B,X,O,+,+,+,+,O,B,B,B,TRUE
O,X,X,+,O,O,+,X,X,+,O,B,+,B,B,B,TRUE
+,O,O,O,+,B,O,X,+,X,X,X,+,B,B,B,TRUE
+,B,X,O,+,O,X,X,+,X,O,O,+,B,B,B,TRUE
X,O,O,X,B,O,O,X,+,+,+,+,B,X,B,B,TRUE
X,O,O,X,+,+,+,+,O,X,O,B,X,B,B,B,TRUE
X,O,X,X,+,+,+,+,B,O,X,O,O,B,B,B,TRUE
+,+,+,+,X,O,O,X,O,X,B,O,B,X,B,B,TRUE
+,X,X,O,+,O,X,X,+,O,B,O,+,B,B,B,TRUE
X,O,B,X,O,O,O,B,+,+,+,+,X,X,B,B,TRUE
X,X,X,+,B,O,+,X,O,+,O,O,+,B,B,B,TRUE
+,+,+,+,O,O,X,O,B,X,O,X,B,X,B,B,TRUE
+,X,O,O,+,B,X,X,+,O,O,X,+,B,B,B,TRUE
O,X,B,X,O,O,X,O,+,+,+,+,B,X,B,B,TRUE
+,+,+,+,X,O,O,O,X,X,X,O,B,B,B,B,TRUE
+,+,+,+,X,X,O,X,O,O,B,O,X,B,B,B,TRUE
O,B,O,X,+,+,+,+,X,X,O,X,O,B,B,B,TRUE
B,X,X,+,O,O,+,O,X,+,O,X,+,B,B,B,TRUE
+,+,+,+,O,X,X,O,B,O,O,X,X,B,B,B,TRUE
X,O,X,X,+,+,+,+,O,O,B,O,X,B,B,B,TRUE
X,O,X,O,+,+,+,+,O,X,O,B,B,X,B,B,TRUE
O,X,X,O,+,+,+,+,O,X,X,B,O,B,B,B,TRUE
B,O,O,X,+,+,+,+,O,B,O,X,X,X,B,B,TRUE
+,X,O,X,+,O,B,X,+,O,O,X,+,B,B,B,TRUE
O,B,X,O,O,B,O,X,+,+,+,+,X,X,B,B,TRUE
X,B,O,+,O,X,+,O,X,+,X,O,+,B,B,B,TRUE
O,X,B,O,O,X,O,X,+,+,+,+,B,X,B,B,TRUE
+,+,+,+,O,X,O,O,X,O,X,B,B,X,B,B,TRUE
X,X,O,+,X,O,+,O,O,+,X,B,+,B,B,B,TRUE
O,X,O,X,O,X,O,X,+,+,+,+,B,B,B,B,TRUE
X,O,O,O,X,X,X,O,+,+,+,+,B,B,B,B,TRUE
X,O,O,B,+,+,+,+,O,X,X,O,B,X,B,B,TRUE
X,O,X,X,O,O,O,B,+,+,+,+,B,X,B,B,TRUE
B,B,O,X,+,+,+,+,X,O,O,O,X,X,B,B,TRUE
+,+,+,+,X,B,O,X,O,O,X,O,B,X,B,B,TRUE
O,X,O,O,B,B,O,X,+,+,+,+,X,X,B,B,TRUE
+,O,O,O,+,O,X,X,+,X,X,B,+,B,B,B,TRUE
B,O,X,X,+,+,+,+,O,O,B,O,X,X,B,B,TRUE
X,X,B,O,X,O,O,X,+,+,+,+,O,B,B,B,TRUE
+,X,X,B,+,X,O,O,+,O,O,X,+,B,B,B,TRUE
